Fecha,INPC
01/01/2010,4.46
01/02/2010,4.83
01/03/2010,4.97
01/04/2010,4.27
01/05/2010,3.92
01/06/2010,3.69
01/07/2010,3.64
01/08/2010,3.68
01/09/2010,3.7
01/10/2010,4.02
01/11/2010,4.32
01/12/2010,4.4
01/01/2011,3.78
01/02/2011,3.57
01/03/2011,3.04
01/04/2011,3.36
01/05/2011,3.25
01/06/2011,3.28
01/07/2011,3.55
01/08/2011,3.42
01/09/2011,3.14
01/10/2011,3.2
01/11/2011,3.48
01/12/2011,3.82
01/01/2012,4.05
01/02/2012,3.87
01/03/2012,3.73
01/04/2012,3.41
01/05/2012,3.85
01/06/2012,4.34
01/07/2012,4.42
01/08/2012,4.57
01/09/2012,4.77
01/10/2012,4.6
01/11/2012,4.18
01/12/2012,3.57
01/01/2013,3.25
01/02/2013,3.55
01/03/2013,4.25
01/04/2013,4.65
01/05/2013,4.63
01/06/2013,4.09
01/07/2013,3.47
01/08/2013,3.46
01/09/2013,3.39
01/10/2013,3.36
01/11/2013,3.62
01/12/2013,3.97
01/01/2014,4.48
01/02/2014,4.23
01/03/2014,3.76
01/04/2014,3.5
01/05/2014,3.51
01/06/2014,3.75
01/07/2014,4.07
01/08/2014,4.15
01/09/2014,4.22
01/10/2014,4.3
01/11/2014,4.17
01/12/2014,4.08
01/01/2015,3.07
01/02/2015,3
01/03/2015,3.14
01/04/2015,3.06
01/05/2015,2.88
01/06/2015,2.87
01/07/2015,2.74
01/08/2015,2.59
01/09/2015,2.52
01/10/2015,2.48
01/11/2015,2.21
01/12/2015,2.13
